Team, Conf, AjdEM, AdjO, AdjD, AdjT, Luck, SOS_AdjEM, SOS_OppO, SOS_OppD, NCSOS_AdjEM
Prairie View A&M,SWAC,-9.94,97.1,107.0,70.3,-.034,-3.11,99.9,103.0,+16.98
Hartford,AE,-10.05,101.1,111.2,67.2,-.050,-7.77,98.9,106.7,-5.32
Radford,BSth,-10.20,95.3,105.5,64.1,+.023,-3.27,100.9,104.2,+5.57
Bowling Green,MAC,-10.22,102.8,113.0,72.8,-.011,-5.50,101.1,106.6,-8.17
North Carolina Central,MEAC,-10.34,96.7,107.0,67.6,+.044,-6.17,97.4,103.6,+2.14
Albany,AE,-10.47,92.2,102.7,65.2,+.042,-6.07,100.2,106.3,-0.63
Illinois Chicago,Horz,-10.52,99.4,109.9,69.2,+.059,-7.43,98.9,106.3,+0.62
San Jose St.,MWC,-10.62,98.9,109.5,65.4,-.007,+4.12,104.7,100.5,-2.71
North Carolina A&T,BSth,-10.76,96.8,107.6,67.4,+.023,-3.19,100.5,103.7,+2.74
Binghamton,AE,-10.76,94.9,105.6,67.1,-.004,-6.47,100.5,107.0,-3.08
Austin Peay,OVC,-10.83,94.8,105.6,64.6,+.066,-2.16,100.7,102.9,+6.69
Morgan St.,MEAC,-10.97,94.4,105.4,71.9,-.021,-7.30,96.9,104.2,+1.87
Pacific,WCC,-10.97,95.0,106.0,68.2,-.048,-0.31,103.3,103.6,-3.43
Denver,Sum,-11.08,99.8,110.9,66.4,-.046,-5.58,101.9,107.5,-4.80
Army,Pat,-11.12,96.5,107.6,68.8,+.025,-8.42,98.6,107.1,-3.99
Western Carolina,SC,-11.29,99.0,110.3,68.2,+.074,-0.55,105.0,105.5,-2.74
Northern Illinois,MAC,-11.34,92.8,104.1,67.0,+.001,-2.89,102.3,105.2,+0.73
SIU Edwardsville,OVC,-11.47,94.0,105.5,68.5,-.024,-4.41,100.6,105.0,-1.82
Merrimack,NEC,-11.55,94.2,105.7,62.2,+.060,-7.61,99.0,106.6,-1.80
Coppin St.,MEAC,-11.71,92.0,103.7,72.2,-.017,-3.28,99.9,103.2,+5.50
UT Rio Grande Valley,WAC,-11.80,99.9,111.7,71.8,-.071,-1.47,100.6,102.0,-0.31
Lehigh,Pat,-12.07,98.1,110.2,68.1,-.015,-8.72,98.0,106.7,-5.47
Grambling St.,SWAC,-12.31,93.7,106.0,69.3,+.034,-4.46,98.6,103.0,+10.22
Stetson,ASun,-12.44,96.6,109.0,65.7,-.009,-3.99,101.8,105.8,-0.96
St. Thomas,Sum,-12.51,106.6,119.1,65.3,-.084,-4.87,101.9,106.8,-2.16
South Carolina St.,MEAC,-12.56,93.3,105.8,70.0,+.074,-8.53,97.3,105.9,-4.76
Tennessee Martin,OVC,-12.64,96.0,108.7,68.9,-.041,-2.13,101.3,103.4,+3.96
Cal Poly,BW,-12.72,93.0,105.8,64.6,-.034,-3.31,100.2,103.5,-2.70
Florida A&M,SWAC,-12.73,94.9,107.6,65.5,+.097,-6.24,98.0,104.3,+8.87
McNeese St.,Slnd,-12.97,97.7,110.7,69.6,-.042,-5.44,100.2,105.6,+4.80
Alabama St.,SWAC,-13.19,97.1,110.3,69.4,-.002,-6.05,98.3,104.4,+10.52
UTSA,CUSA,-13.20,94.3,107.5,68.7,-.020,-2.21,101.6,103.8,-8.18
Maryland Eastern Shore,MEAC,-13.21,89.7,102.9,67.9,+.021,-5.49,98.3,103.8,+5.06
Alabama A&M,SWAC,-13.50,87.3,100.8,66.6,+.034,-8.49,97.8,106.3,+2.23
North Alabama,ASun,-13.57,90.2,103.8,67.7,-.064,-3.34,102.5,105.9,+3.90
Eastern Michigan,MAC,-13.60,93.7,107.4,69.2,+.025,-3.56,101.9,105.4,+0.31
Sacramento St.,BSky,-13.72,95.1,108.8,64.3,+.008,-6.02,101.2,107.2,+0.88
Central Michigan,MAC,-13.77,96.2,110.0,67.5,-.001,-1.74,103.4,105.1,+2.93
Central Arkansas,ASun,-14.14,98.7,112.9,71.9,+.098,-1.20,103.0,104.2,+8.37
Sacred Heart,NEC,-14.17,101.3,115.5,67.4,-.027,-8.67,97.8,106.5,-5.41
Evansville,MVC,-14.19,92.6,106.8,64.1,-.065,+2.11,104.2,102.1,-2.55
St. Francis NY,NEC,-14.21,94.7,108.9,66.6,-.037,-7.83,98.5,106.3,-1.67
Lafayette,Pat,-14.41,97.1,111.5,64.8,-.041,-7.88,100.3,108.2,-0.24
Idaho,BSky,-14.60,99.2,113.8,70.0,-.028,-4.97,100.9,105.9,+2.09
St. Francis PA,NEC,-14.61,95.1,109.7,67.3,-.075,-7.48,99.4,106.9,-2.03
Hampton,BSth,-15.02,90.6,105.6,69.1,+.070,-5.46,99.0,104.5,-3.05
Robert Morris,Horz,-15.16,98.4,113.6,66.7,-.067,-6.28,100.4,106.6,+2.68
Little Rock,SB,-15.18,96.9,112.1,66.7,+.075,-0.21,102.1,102.3,+3.90
Western Michigan,MAC,-15.21,96.9,112.1,64.0,-.024,-2.48,103.4,105.9,+4.56
Northwestern St.,Slnd,-15.42,98.4,113.8,71.2,-.060,-4.65,100.7,105.4,+6.27
American,Pat,-16.20,94.4,110.6,64.9,+.003,-7.56,99.3,106.9,-3.92
Cal St. Northridge,BW,-16.20,93.9,110.2,64.9,+.029,-1.64,101.0,102.6,+0.71
Bethune Cookman,SWAC,-16.68,93.1,109.8,65.8,+.039,-6.67,97.7,104.4,+3.23
Northern Arizona,BSky,-16.91,95.5,112.4,65.1,+.007,-5.18,101.6,106.8,+0.20
Milwaukee,Horz,-17.04,91.7,108.8,66.8,-.047,-8.13,99.4,107.5,-3.67
Bucknell,Pat,-17.09,99.9,117.0,67.7,+.039,-6.27,100.4,106.7,-1.51
Houston Baptist,Slnd,-17.14,95.2,112.3,68.8,-.002,-8.68,99.7,108.4,-1.16
William & Mary,CAA,-17.33,90.2,107.5,68.8,+.015,-1.13,102.6,103.7,-2.06
Idaho St.,BSky,-17.54,93.9,111.4,63.9,-.038,-4.94,101.0,105.9,+1.54
Chicago St.,WAC,-17.64,95.5,113.1,65.6,+.040,-2.01,100.4,102.4,-5.14
Southern Miss,CUSA,-17.85,94.0,111.8,67.1,+.034,-0.20,102.7,102.9,-1.21
NJIT,AE,-18.31,89.4,107.7,66.0,+.092,-7.03,100.0,107.0,-6.65
Green Bay,Horz,-18.52,91.9,110.4,64.7,-.116,-6.48,99.9,106.4,+2.81
Nebraska Omaha,Sum,-18.66,97.8,116.4,69.9,-.055,-2.18,104.4,106.6,+3.56
Fairleigh Dickinson,NEC,-19.70,94.8,114.5,69.6,-.051,-5.36,99.9,105.3,+5.54
Central Connecticut,NEC,-19.71,91.5,111.2,64.6,+.032,-6.39,99.7,106.1,-1.44
Charleston Southern,BSth,-19.94,92.3,112.2,68.9,-.002,-3.74,100.6,104.3,+0.38
North Dakota,Sum,-19.95,96.6,116.5,67.4,-.020,-5.68,102.1,107.8,-5.97
Holy Cross,Pat,-20.07,91.2,111.3,67.1,+.059,-8.18,99.0,107.2,-4.08
Lamar,WAC,-20.15,92.0,112.2,66.1,-.065,-1.86,100.8,102.7,-1.00
Columbia,Ivy,-21.02,93.2,114.2,69.5,-.004,-4.16,100.9,105.1,-7.91
Arkansas Pine Bluff,SWAC,-21.52,97.8,119.3,67.1,+.009,-3.84,98.8,102.6,+12.05
Incarnate Word,Slnd,-21.92,94.8,116.7,64.6,-.008,-6.39,100.5,106.9,+1.05
Maine,AE,-22.06,92.2,114.3,66.2,-.048,-5.75,99.9,105.7,+1.33
Mississippi Valley St.,SWAC,-22.53,92.7,115.3,70.8,-.100,-6.26,97.9,104.2,+4.98
Delaware St.,MEAC,-24.29,86.2,110.5,68.4,-.118,-6.08,98.2,104.2,-0.81
Eastern Illinois,OVC,-25.72,83.2,108.9,64.7,-.000,-3.53,100.7,104.2,-2.12
IUPUI,Horz,-31.57,79.4,110.9,62.3,-.055,-7.84,99.6,107.5,-4.70
