Team, Conf, AjdEM, AdjO, AdjD, AdjT, Luck, SOS_AdjEM, SOS_OppO, SOS_OppD, NCSOS_AdjEM
Wyoming,MWC,+11.94,109.1,97.2,66.1,+.056,+4.10,104.7,100.6,-1.05
West Virginia,B12,+11.76,108.3,96.6,68.0,-.001,+12.52,108.4,95.9,-0.37
Chattanooga,SC,+11.51,109.0,97.5,64.7,+.007,+0.46,105.1,104.7,+1.74
Saint Louis,A10,+11.45,109.3,97.8,67.9,-.021,+3.38,104.8,101.4,+2.33
Syracuse,ACC,+11.45,115.4,104.0,67.6,-.065,+8.15,107.4,99.3,+3.25
Missouri St.,MVC,+11.40,113.2,101.7,67.1,-.040,+0.77,103.8,103.0,-3.01
Clemson,ACC,+11.36,110.1,98.8,66.3,-.083,+6.77,107.0,100.2,-0.41
Virginia,ACC,+11.23,107.6,96.4,59.5,+.025,+7.03,107.3,100.2,-4.06
Fresno St.,MWC,+11.14,105.5,94.4,61.8,-.052,+1.32,103.1,101.8,-4.07
Furman,SC,+11.02,113.9,102.9,64.8,-.072,-0.23,104.0,104.3,+1.26
Towson,CAA,+10.91,109.6,98.7,64.8,-.015,-1.99,101.7,103.7,-1.67
Santa Clara,WCC,+10.83,111.8,101.0,70.8,-.014,+2.35,103.0,100.6,-1.82
Rutgers,B10,+10.82,106.9,96.1,64.9,+.001,+7.92,108.1,100.2,-10.43
St. Bonaventure,A10,+10.71,109.2,98.5,65.7,+.100,+4.94,104.8,99.8,+1.64
Colorado,P12,+10.64,106.5,95.9,67.4,+.041,+5.01,105.5,100.5,-7.62
New Mexico St.,WAC,+10.61,107.1,96.5,66.1,+.085,+1.21,102.5,101.3,+3.48
South Dakota St.,Sum,+10.58,115.4,104.8,69.4,+.054,-4.16,102.9,107.1,+3.60
Oregon,P12,+10.33,110.0,99.6,67.9,+.014,+7.47,106.3,98.8,+3.17
Maryland,B10,+10.06,109.4,99.3,66.6,-.035,+9.02,108.5,99.5,-0.52
Drake,MVC,+9.48,108.8,99.3,66.2,-.006,+0.69,103.7,103.0,-4.51
Richmond,A10,+9.45,108.1,98.7,66.8,+.061,+5.07,105.5,100.5,+2.42
Belmont,OVC,+9.43,108.5,99.0,68.9,+.066,-1.97,101.5,103.5,+5.30
Northwestern,B10,+9.38,106.6,97.2,67.7,-.077,+7.86,107.8,100.0,-11.01
Penn St.,B10,+9.31,105.3,96.0,62.0,-.037,+9.40,109.4,100.0,-2.83
Iona,MAAC,+8.95,108.0,99.0,69.2,-.006,-0.97,101.7,102.7,+3.66
UNLV,MWC,+8.79,107.5,98.7,66.2,-.020,+4.22,104.1,99.9,+1.18
Northern Iowa,MVC,+8.45,110.6,102.2,67.3,+.040,+4.16,104.7,100.6,+4.37
Middle Tennessee,CUSA,+8.22,106.6,98.4,67.1,-.014,-1.41,102.5,103.9,-1.24
Grand Canyon,WAC,+8.11,104.7,96.5,65.5,+.009,-3.55,99.7,103.3,-7.00
Wichita St.,Amer,+8.11,104.0,95.9,66.9,-.037,+4.61,104.6,100.0,+1.68
Toledo,MAC,+8.04,110.2,102.1,68.8,+.039,-3.93,101.9,105.8,+2.05
Bradley,MVC,+7.99,104.8,96.8,67.2,-.090,+1.21,103.7,102.5,-2.27
